Category	Topic / Chapter	Lecture # in Topic	Lecture Title	Current YouTube URL	Current Playlist URL(s)	MyNotes URL	MyNotes_old URL	JEE Syllabus Unit	JEE Syllabus Unit Name	Syllabus Mapping Confidence	Source Plan Status	Recommended Primary Source	Recommended Source URL	Source Plan Notes	
Physical Chemistry	Redox Reactions and Electrochemistry	6	Electrode Potential and EMF Of Cell - Basics	https://youtu.be/xj8HNg_zWIw	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/06_electrode_potential_and_emf_of_cell_basics.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	7	NERNST Equation for Electrode Potential and EMF of Cell	https://youtu.be/UlwKBzIiIVo	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/07_nernst_equation_for_electrode_potential_and_emf_of_cell.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	8	Standard Hydrogen Electrode (SHE): Theory and Numericals	https://youtu.be/XN60W6H0XWw	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/08_standard_hydrogen_electrode_she_theory_and_numericals.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	9	Electrochemical Series	https://youtu.be/rkf6PQFv_R4	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/09_electrochemical_series.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	10	Electrolysis OR Electrochemical Cell: Introduction - Product at Electrode	https://youtu.be/oFdw8j6cq6w	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/10_electrolysis_or_electrochemical_cell_introduction_product_at_electrode.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	11	Faraday's Laws Of Electrolysis	https://youtu.be/OrYmCoFB44Q	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/11_faradays_laws_of_electrolysis.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	12	Electrolytic Conductance - Conductivity - Molar and Equivalent Conductivity	https://youtu.be/e2FexAPcwvw	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/12_electrolytic_conductance_conductivity_molar_and_equivalent_conductivity.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Redox Reactions and Electrochemistry	13	Variation of Molar Conductivity with Concentration - KOHLRAUSCH'S LAW	https://youtu.be/uY24hg3SjX4	https://www.youtube.com/playlist?list=PLTpsEaEiWczjpQ4bPDtfZa6cKie5wUU0m; https://www.youtube.com/playlist?list=PLF_7kfnwLFCF_VxKKAhHSLryCsJr3GW71	01_physical_chem_lectures/07_redox_reactions_and_electrochemistry/13_variation_of_molar_conductivity_with_concentration_kohlrauschs_law.html		Unit 7	Redox Reactions and Electrochemistry	High	Keep current source / no change decided				
Physical Chemistry	Solutions	1	Solutions 01 II Introduction and Concentration Terms	https://youtu.be/nn-1UU_1PX8	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/01_solutions_01_ii_introduction_and_concentration_terms.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Solutions	2	Vapour Pressure of Solution of Two Volatile Liquids - RAOULT'S Law	https://youtu.be/ltirLC4AD2E	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/02_vapour_pressure_of_solution_of_two_volatile_liquids_raoults_law.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Solutions	3	Relative Lowering of Vapour Pressure due to Non-Volatile Solute - Colligative Property	https://youtu.be/qpfnOJlL3SU	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/03_relative_lowering_of_vapour_pressure_due_to_non_volatile_solute_colligative_property.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Solutions	4	Ideal and Non-Ideal Solutions - Raoult's Law: +ve Deviation and -ve Deviation	https://youtu.be/Lrn31fEY5uc	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/04_ideal_and_non_ideal_solutions_raoults_law_positive_deviation_and_negative_deviation.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Solutions	5	Colligative Property - Elevation in Boiling Point	https://youtu.be/i5rSNwv9v9s	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/05_colligative_property_elevation_in_boiling_point.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Solutions	6	Colligative Property - Depression in Freezing Point	https://youtu.be/aMbnHVKiYWg	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/06_colligative_property_depression_in_freezing_point.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Solutions	7	Colligative Property - Osmotic Pressure	https://youtu.be/EEnbajugGfg	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/07_colligative_property_osmotic_pressure.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Solutions	8	Van't Hoff Factor and Abnormal Molar Masses	https://youtu.be/1b0tmhf8c3s	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/08_vant_hoff_factor_and_abnormal_molar_masses.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Solutions	9	Previous Year IIT Questions on Colligative Properties	https://youtu.be/p-aCsUDvoSo	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/09_previous_year_iit_questions_on_colligative_properties.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Solutions	10	Solubility and Henry's Law	https://youtu.be/JCmK2OJGwyY	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHJ6kUboe60izCndyBUjiaZ	01_physical_chem_lectures/08_solutions/10_solubility_and_henrys_law.html		Unit 5	Solutions	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	1	Introduction - Rate of Reaction	https://youtu.be/Ez2EaGNt-u8	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/01_introduction_rate_of_reaction.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	2	Factors Affecting Rate of Reaction - 7 Factors	https://youtu.be/Wg8gUHWlfG8	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/02_factors_affecting_rate_of_reaction_7_factors.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	3	Rate Law and Order Of Reaction	https://youtu.be/4YLbhZtia1Q	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/03_rate_law_and_order_of_reaction.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	4	Initial Rate Method to Determine Order of Reaction & Rate Law	https://youtu.be/5XgyuftggTo	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/04_initial_rate_method_to_determine_order_of_reaction_rate_law.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	5	ZERO Order Kinetics | Rate Law and Half Life Of Zero Order	https://youtu.be/A0QsbNj9x24	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/05_zero_order_kinetics_rate_law_and_half_life_of_zero_order.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	6	FIRST Order Kinetics | Complete First Order Reaction	https://youtu.be/djvupjkQJ1U	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/06_first_order_kinetics_complete_first_order_reaction.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	7	Second, Third & nth Order Reaction & Kinetics - All Formulae	https://youtu.be/rqSvq-3mnC8	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/07_second_third_nth_order_reaction_kinetics_all_formulae.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	8	How to Determine Order of Reaction? Half Life Method & Other Methods	https://youtu.be/rGZfrCEC6NM	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/08_how_to_determine_order_of_reaction_half_life_method_other_methods.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	9	Molecularity of Reaction | Pseudo Order Reaction | Molecularity	https://youtu.be/GmFnROiHYE4	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/09_molecularity_of_reaction_pseudo_order_reaction_molecularity.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	10	Arrhenius Equation | Effect of Temperature on Rate of Reaction	https://youtu.be/uexnw54Cluk	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/10_arrhenius_equation_effect_of_temperature_on_rate_of_reaction.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	11	Complex Reaction - Mechanism of Reaction - Steady State Approximation	https://youtu.be/Tko6iBir6GM	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/11_complex_reaction_mechanism_of_reaction_steady_state_approximation.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Kinetics	12	Parallel First Order Reaction Kinetics	https://youtu.be/DrE6ApKqgwU	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHlh8wdeQ_ZZ96DhBDjqGMZ	01_physical_chem_lectures/09_chemical_kinetics/12_parallel_first_order_reaction_kinetics.html		Unit 8	Chemical Kinetics	High	Keep current source / no change decided				
Inorganic Chemistry	Periodic Classification	1	Historical Development	https://youtu.be/TOXF8LXEFJw	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFW27SD2cKamlTUde0OurJS	02_inorganic_chem_lectures/01_periodic_classification/01_historical_development.html	02_inorganic_chem_lectures/01_periodic_classification_OLD/01_historical_development.html	Unit 9	Classification of Elements and Periodicity in Properties	High	Keep current source / no change decided				
Inorganic Chemistry	Periodic Classification	2	Modern Periodic Table	https://youtu.be/ZXpCDByQPdA	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFW27SD2cKamlTUde0OurJS	02_inorganic_chem_lectures/01_periodic_classification/02_modern_periodic_table.html	02_inorganic_chem_lectures/01_periodic_classification_OLD/02_modern_periodic_table.html	Unit 9	Classification of Elements and Periodicity in Properties	High	Keep current source / no change decided				
Inorganic Chemistry	Periodic Classification	3	How to Find Group, Period and Block of any Element || spdf Trick	https://youtu.be/V7BL9HKZYMY	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFW27SD2cKamlTUde0OurJS	02_inorganic_chem_lectures/01_periodic_classification/03_how_to_find_group_period_and_block_of_any_element_spdf_trick.html		Unit 9	Classification of Elements and Periodicity in Properties	High	Keep current source / no change decided				
Inorganic Chemistry	Periodic Classification	4	Atomic Radius, Ionic Radius & Its Variation	https://youtu.be/hGaKK3XrMJQ	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFW27SD2cKamlTUde0OurJS	02_inorganic_chem_lectures/01_periodic_classification/04_atomic_radius_ionic_radius_and_its_variation.html		Unit 9	Classification of Elements and Periodicity in Properties	High	Keep current source / no change decided				
Inorganic Chemistry	Periodic Classification	5	Ionization Energy || Ionization Potential	https://youtu.be/6HqlknZbqJI	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFW27SD2cKamlTUde0OurJS	02_inorganic_chem_lectures/01_periodic_classification/05_ionization_energy_ionization_potential.html		Unit 9	Classification of Elements and Periodicity in Properties	High	Keep current source / no change decided				
Inorganic Chemistry	Periodic Classification	6	Electron Affinity || Electron Gain Enthalpy	https://youtu.be/O6ToralUhKE	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFW27SD2cKamlTUde0OurJS	02_inorganic_chem_lectures/01_periodic_classification/06_electron_affinity_electron_gain_enthalpy.html		Unit 9	Classification of Elements and Periodicity in Properties	High	Keep current source / no change decided				
Inorganic Chemistry	Periodic Classification	7	Electronegativity	https://youtu.be/WmO3uCp23b4	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFW27SD2cKamlTUde0OurJS	02_inorganic_chem_lectures/01_periodic_classification/07_electronegativity.html		Unit 9	Classification of Elements and Periodicity in Properties	High	Keep current source / no change decided				
Inorganic Chemistry	p block elements	1	Introduction	https://youtu.be/xQJOfAKgSOY?t=0		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	2	P block elements	https://youtu.be/xQJOfAKgSOY?t=47		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	3	P block elements properties	https://youtu.be/xQJOfAKgSOY?t=196		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	4	Periodic Table trends	https://youtu.be/xQJOfAKgSOY?t=416		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	5	Group 15 elements	https://youtu.be/xQJOfAKgSOY?t=491		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	6	Nitrogen Family: Occurrence	https://youtu.be/xQJOfAKgSOY?t=660		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	7	Nitrogen Family: Electronic Configuration	https://youtu.be/xQJOfAKgSOY?t=764		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	8	Nitrogen Family: Density	https://youtu.be/xQJOfAKgSOY?t=864		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	9	Nitrogen Family: Atomic & Ionic Radii	https://youtu.be/xQJOfAKgSOY?t=942		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	10	Nitrogen Family Trends: Ionization Enthalpy	https://youtu.be/xQJOfAKgSOY?t=1201		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	11	Nitrogen Family: Electronegativity	https://youtu.be/xQJOfAKgSOY?t=1502		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	12	Nitrogen Family: Metallic Character	https://youtu.be/xQJOfAKgSOY?t=1678		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	13	Nitrogen Family: Oxidation States	https://youtu.be/xQJOfAKgSOY?t=1742		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	14	Nitrogen Family: Covalency	https://youtu.be/xQJOfAKgSOY?t=2014		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	15	Anomalous Properties of Nitrogen	https://youtu.be/xQJOfAKgSOY?t=2135		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	16	Nitrogen Family: Chemical Properties	https://youtu.be/xQJOfAKgSOY?t=2324		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	17	Nitrogen Family: Reaction with Hydrogen	https://youtu.be/xQJOfAKgSOY?t=2348		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	18	Nitrogen Family: Reaction with Oxygen	https://youtu.be/xQJOfAKgSOY?t=2659		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	19	Nitrogen Family: Reaction with Halogen	https://youtu.be/xQJOfAKgSOY?t=2777		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	20	Nitrogen Family: Reaction with Other Metals	https://youtu.be/xQJOfAKgSOY?t=2986		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	21	Nitrogen Family: Important Compounds	https://youtu.be/xQJOfAKgSOY?t=3095		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	22	Dinitrogen: Preparation	https://youtu.be/xQJOfAKgSOY?t=3143		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	23	Dinitrogen: Properties	https://youtu.be/xQJOfAKgSOY?t=3521		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	24	Dinitrogen: Uses	https://youtu.be/xQJOfAKgSOY?t=3647		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	25	Ammonia: Uses	https://youtu.be/xQJOfAKgSOY?t=3777		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	26	Ammonia: Preparation	https://youtu.be/xQJOfAKgSOY?t=3866		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
Inorganic Chemistry	p block elements	27	Ammonia: Properties	https://youtu.be/xQJOfAKgSOY?t=4028		#		Unit 10	p-Block Elements	High	Replace/standardize to JEE Wallah	P Block Elements: Chemistry | Class 12th/JEE	https://www.youtube.com/playlist?list=PLxyGaR3hEy3gUyoklkOVb5o5rSK8pmFWi	JEE Wallah playlist; search result says 10 lessons / 17 hours. Also consider one-shot: https://www.youtube.com/watch?v=qzFtiCIf9Ck	
